Iteration,Error_psi,Error_omega
510,1.1553234529255277e-05,0.004302385431057712
511,1.1545982826322875e-05,0.004291306573068337
512,1.1538747866544743e-05,0.004280277506195727
513,1.153152957760542e-05,0.00426929791073037
514,1.152432788764338e-05,0.004258367469631523
515,1.1517142725246654e-05,0.004247485868500464
516,1.1509974019449766e-05,0.004236652795552958
517,1.1502821699729398e-05,0.0042258679415928015
518,1.1495685696001553e-05,0.004215130999984921
519,1.1488565938617336e-05,0.004204441666629963
520,1.148146235835972e-05,0.004193799639937936
521,1.147437488644006e-05,0.004183204620802967
522,1.1467303454494377e-05,0.004172656312577885
523,1.1460247994580287e-05,0.0041621544210501266
524,1.1453208439173155e-05,0.004151698654416152
525,1.1446184721163392e-05,0.004141288723257394
526,1.14391767738522e-05,0.004130924340517032
527,1.1432184530949132e-05,0.0041206052214755855
528,1.142520792656832e-05,0.004110331083727271
529,1.1418246895225533e-05,0.004100101647157905
530,1.1411301371834592e-05,0.0040899166339207664
531,1.140437129170466e-05,0.0040797757684150875
532,1.1397456590536766e-05,0.004069678777263089
533,1.1390557204420832e-05,0.004059625389288007
534,1.1383673069832591e-05,0.00404961533549237
535,1.1376804123630434e-05,0.004039648349036534
536,1.1369950303052638e-05,0.0040297241652174475
537,1.136311154571397e-05,0.004019842521446978
538,1.135628778960327e-05,0.0040100031572322765
539,1.134947897307992e-05,0.004000205814154148
540,1.1342685034871397e-05,0.003990450235846995
541,1.1335905914070199e-05,0.003980736167979184
542,1.1329141550131045e-05,0.003971063358232684
543,1.132239188286802e-05,0.003961431556283734
544,1.1315656852451927e-05,0.003951840513783295
545,1.130893639940703e-05,0.0039422899843382314
546,1.1302230464609247e-05,0.003932779723491584
547,1.1295538989282311e-05,0.003923309488704857
548,1.1288861914996106e-05,0.003913879039338487
549,1.128219918366326e-05,0.003904488136634461
550,1.1275550737536777e-05,0.003895136543697424
551,1.1268916519207624e-05,0.003885824025477724
552,1.1262296471601778e-05,0.003876550348752688
553,1.125569053797797e-05,0.003867315282109898
554,1.1249098661925076e-05,0.0038581185959293608
555,1.1242520787359131e-05,0.0038489600623670835
556,1.123595685852188e-05,0.0038398394553374247
557,1.1229406819977213e-05,0.0038307565504969573
558,1.122287061660926e-05,0.00382171112522782
559,1.1216348193620227e-05,0.0038127029586210856
560,1.120983949652712e-05,0.003803731831461217
561,1.1203344471160444e-05,0.00379479752620949
562,1.1196863063660965e-05,0.0037858998269882874
563,1.1190395220477996e-05,0.0037770385195662376
564,1.1183940888366513e-05,0.0037682133913416746
565,1.1177500014385516e-05,0.0037594242313279567
566,1.1171072545895224e-05,0.0037506708301384716
567,1.11646584305551e-05,0.003741952979971859
568,1.1158257616321371e-05,0.003733270474596221
569,1.1151870051445361e-05,0.003724623109335771
570,1.1145495684470577e-05,0.0037160106810559183
571,1.1139134464231219e-05,0.0037074329881485522
572,1.1132786339849408e-05,0.003698889830518587
573,1.112645126073365e-05,0.0036903810095696753
574,1.1120129176576274e-05,0.0036819063281904557
575,1.1113820037351732e-05,0.003673465590740791
576,1.1107523793314061e-05,0.0036650586030384236
577,1.11012403949953e-05,0.003656685172345501
578,1.1094969793203192e-05,0.0036483451073555306
579,1.1088711939019187e-05,0.003640038218179871
580,1.108246678379658e-05,0.0036317643163350333
581,1.1076234279158385e-05,0.003623523214730489
582,1.1070014376995387e-05,0.003615314727654868
583,1.1063807029464395e-05,0.0036071386707641913
584,1.1057612188986053e-05,0.0035989948610695116
585,1.105142980824307e-05,0.0035908831169243166
586,1.1045259840178394e-05,0.003582803258012456
587,1.1039102237993196e-05,0.003574755105336329
588,1.1032956955144974e-05,0.003566738481205298
589,1.1026823945346009e-05,0.003558753209222749
590,1.1020703162561182e-05,0.003550799114276377
591,1.101459456100647e-05,0.003542876022525098
592,1.1008498095146804e-05,0.003534983761387907
593,1.1002413719694761e-05,0.0035271221595339066
594,1.0996341389608409e-05,0.003519291046869336
595,1.0990281060089595e-05,0.003511490254528094
596,1.09842326865826e-05,0.0035037196148596413
597,1.0978196224771833e-05,0.0034959789614194057
598,1.0972171630580581e-05,0.0034882681289572
599,1.096615886016926e-05,0.00348058695340682
600,1.0960157869933575e-05,0.0034729352718762124
601,1.0954168616502922e-05,0.0034653129226364684
602,1.0948191056738915e-05,0.0034577197451118587
603,1.0942225147733524e-05,0.003450155579869312
604,1.0936270846807559e-05,0.003442620268609521
605,1.093032811150914e-05,0.0034351136541557834
606,1.0924396899611956e-05,0.0034276355804448606
607,1.0918477169114022e-05,0.0034201858925171514
608,1.0912568878235558e-05,0.00341276443650679
